Route name,Route ID,From station ID,To station ID,Parent Route ID
KIA-9 UP,1863,20921,35805,1101
KIA-9 DOWN,1864,23485,20922,1101
KIA-4 UP,2985,35189,35805,1697
KIA-4 DOWN,2986,23485,25675,1697
KIA-4A UP,2987,21277,35805,1698
KIA-4A DOWN,2988,23485,23656,1698
KIA-6 UP,2989,20902,35805,1699
KIA-6 DOWN,2990,23485,20902,1699
KIA-6W UP,2991,23656,35805,1700
KIA-6A UP,2993,20902,35805,1701
KIA-6A DOWN,2994,23485,20902,1701
KIA-15 UP,2995,23656,35805,1702
KIA-15 DOWN,2996,23485,23656,1702
KIA-15A DOWN,2998,23485,23656,1703
KIA-10 UP,3812,21042,35805,2124
KIA-10 DOWN,3813,23485,21042,2124
KIA-8C UP,3835,21818,35805,2136
KIA-8C DOWN,3836,23485,21817,2136
KIA-5 UP,3914,20623,35805,2164
KIA-5 DOWN,3917,23485,20624,2164
KIA-7A UP,3953,23716,35805,2193
KIA-7A DOWN,3954,23485,23925,2193
KIA-8 UP,3964,21934,35805,2200
KIA-8 DOWN,3965,23485,21933,2200
KIA-8D UP,3968,28169,35805,2202
KIA-8D DOWN,3976,23485,34475,2202
KIA-8A UP,4002,20687,35805,2223
KIA-8A DOWN,4003,23485,20686,2223
KIA-8E UP,4420,20772,35805,2431
KIA-8E DOWN,4421,23485,20772,2431
KIA-8H UP,15527,,,8325
KIA-8H DOWN,15526,,,8325
KIA-5D UP,8099,36503,35805,4351
KIA-5D DOWN,8101,23485,36502,4351
KIA-17 UP,8638,29871,35805,4638
KIA-17 DOWN,8641,23485,29871,4638
KIA-9H UP,11732,25819,35805,6250
KIA-9H DOWN,11733,23485,20823,6250
KIA-8EW DOWN,11797,23485,20772,6283
KIA-14 UP,12136,23485,28059,6463
KIA-14 DOWN,12137,34431,35805,6463
KIA-7 UP,12138,23485,32987,6464
KIA-7 DOWN,12139,26024,35805,6464
